No,ツール区分,ツール名,概要,クライアント/EC2,メリット,デメリット,無料・有料
1,ラッシュツール,JMeter,WebサイトやAPIに対して『どれくらいの人数がアクセスしても大丈夫か』を確認するための負荷テストツール。オープンソースで無料。複雑なシナリオも作成可能だが、GUIはやや扱いにくい。,クライアント,無料で高機能、カスタマイズ可能,設定がやや複雑、初心者には敷居が高い,無料
2,ラッシュツール,Distributed Load Testing on AWS,AWSでJMeterを使って分散負荷テストができる仕組み。環境構築が簡単でスケーラブル。AWSの料金体系に基づいて従量課金される。,EC2,自動化しやすく、AWS環境に最適,実行ごとに費用が発生,有料（従量課金）
3,ラッシュツール,Gatling,Scalaで記述されたコードベースの負荷テストツール。オープンソースの無料版では軽量かつ高速なテストが可能。ただしGUIはなく、プログラミング知識が求められる。,クライアント,高速で柔軟なスクリプト制御,学習コストが高め、初心者向けではない,無料
4,ラッシュツール,Gatling Enterprise（有料）,Gatlingの商用版。GUIによる操作やレポート、CI/CD統合が可能。無料版と比べて操作性と管理機能が充実している。,クライアント/EC2,操作しやすいUI、商用サポートあり,高コスト,有料
5,ペネトレーション,Metasploit,セキュリティ診断や侵入テストに使用される有名なフレームワーク。豊富な攻撃シナリオが用意されており、自社の脆弱性を模擬攻撃で確認できる。無料版とPro版があり、ProはGUI操作やレポート出力などが可能。,クライアント,強力な攻撃機能、コミュニティが活発,使いこなすには高度な知識が必要,無料/有料(Pro)
6,ペネトレーション,Pacu,AWS環境専用のペネトレーションテストツール。IAMの設定ミスや権限昇格など、AWSならではの脆弱性を検出する。完全無料のCLIツール。,クライアント,AWS環境に特化、スクリプト自動化可,CLI操作に慣れが必要,無料
7,ペネトレーション,Amazon Inspector,AWS公式の脆弱性診断サービス。EC2やECRなどのリソースに対して、自動でセキュリティスキャンを実行する。定期的なスキャン設定も可能。,EC2,運用負荷が少なく、自動検出可能,古いOSや一部環境には非対応,有料
8,ペネトレーション,Amazon GuardDuty,AWSリソース全体を対象に不正アクセスや異常行動を自動検出する監視サービス。CloudTrailやVPCログと連携し、リアルタイムな検知が可能。,AWS全体,設定が簡単で導入しやすい,検出後の対処は手動対応が必要,有料
9,GUI自動化ツール,Selenium,Webアプリの操作を自動化できるツール。無料で多くのブラウザに対応しており、プログラムから操作できる。世界中で広く使われている標準的な自動テストツール。,クライアント,対応ブラウザが多く、柔軟性高い,安定性に課題あり、環境構築が複雑,無料
10,GUI自動化ツール,Katalon Studio,SeleniumをベースにGUI操作ができる自動テストツール。無料でも基本的な機能は使え、有料版ではCI/CD統合やレポート機能が拡張されている。,クライアント,ノーコード操作、導入しやすい,無料版に機能制限あり,無料/有料
11,GUI自動化ツール,TestComplete,商用のGUIテスト自動化ツール。操作を記録して自動再生でき、プログラミング不要で導入可能。学習コストが低く、ビジネス向けに最適。,クライアント,簡単に自動化可能、サポート充実,非常に高価,有料
